nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
335;2,85278;2,92236;2,91107;2,90131;3,02124;3,06702;3,0835;3,10822;3,12286;2,95685;3,12134;2,7948;2,86804;2,99042;3,01697;3,0423;0,0994873;2,51892;0,153198
336;2,85889;2,93152;2,95654;2,97943;3,04596;3,1076;3,08777;3,15094;3,16345;3,04718;3,17383;2,92236;3,01178;3,11462;3,12897;3,09723;0,0704956;2,59369;0,114136
337;2,86682;2,99377;2,95654;2,9187;3,04047;3,08777;3,11249;3,1543;3,17841;3,05725;3,23395;2,97028;3,02277;3,2193;3,18817;3,20435;0,0592041;2,67761;0,108643
338;2,95105;3,00079;2,9361;2,99561;3,00751;3,09601;3,21655;3,16101;3,20343;3,09143;3,30353;3,08105;3,18939;3,28949;3,30139;3,3606;0,0531006;2,8067;0,101013
339;2,94281;2,97119;2,97607;2,98309;3,02185;3,11127;3,15308;3,1958;3,21503;3,13721;3,36243;3,08167;3,19122;3,3844;3,34839;3,40179;0,0546265;2,85583;0,104675
340;2,92267;2,9657;2,95258;2,98279;3,04962;3,12225;3,16711;3,22388;3,23364;3,16803;3,4198;3,16864;3,30688;3,48022;3,46222;3,51196;0,0549316;2,98828;0,108643
341;2,92572;2,96265;2,94739;2,92999;3,04932;3,12164;3,16071;3,19824;3,25806;3,19733;3,42957;3,24921;3,37433;3,47229;3,50708;3,54614;0,0512695;3,02155;0,128174
342;2,91534;2,9599;2,92847;2,98767;3,05054;3,11615;3,18817;3,2196;3,21777;3,14758;3,4314;3,28827;3,41217;3,60107;3,62854;3,65479;0,0506592;3,08105;0,123596
343;2,93365;2,94983;2,92542;2,97211;3,05084;3,09357;3,15002;3,16406;3,21838;3,19366;3,44757;3,34717;3,4549;3,63586;3,63281;3,66058;0,0506592;3,16437;0,110474
344;2,88055;2,87445;2,94434;2,92816;3,01086;3,10608;3,12775;3,18573;3,19275;3,21106;3,52142;3,33344;3,49396;3,70605;3,7149;3,76068;0,0494385;3,1839;0,10437
345;2,86896;2,92938;2,90741;2,89093;3,01819;2,99622;3,09662;3,13599;3,25287;3,19519;3,52203;3,38226;3,52051;3,73291;3,72131;3,77045;0,0509644;3,24768;0,106201
346;2,81921;2,88666;2,86102;2,8891;2,98035;3,01636;3,04718;3,10272;3,19794;3,16711;3,55652;3,41309;3,60046;3,79028;3,75702;3,80768;0,0531006;3,31879;0,106812
347;2,77191;2,83356;2,836;2,82654;2,91901;3,00049;3,07098;3,08105;3,14819;3,12592;3,49884;3,44543;3,58429;3,82996;3,79364;3,83209;0,0521851;3,30444;0,113831
348;2,78259;2,79724;2,78442;2,80609;2,87384;2,96173;3,0127;3,09265;3,15247;3,13263;3,51501;3,42987;3,6319;3,80432;3,83331;3,86719;0,0531006;3,35144;0,109863
