nm,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
359.0,-2.2247315,-2.2299215,-2.2207615,-2.2244215,-2.3239115,-2.3718215000000002,-2.4481215,-2.4917615,-2.6065015000000002,-2.6553315,-3.1625415,-3.2650715,-3.4304815,-3.6441015,-3.6438015,-3.7002515000000002,0.0,-3.3499115,-0.0619505
360.0,-2.1148636,-2.1810936,-2.1542336,-2.2097736,-2.2613536,-2.3126236000000002,-2.3703036,-2.4301136000000003,-2.5271636,-2.6065036000000004,-3.0877636,-3.1857336000000003,-3.3801236,-3.6004636000000003,-3.5931436000000003,-3.6438036,0.0,-3.2958936000000003,-0.0579836
361.0,-2.0498615,-2.0895415,-2.0721415,-2.0837415,-2.1414215,-2.1746815,-2.2796615,-2.3138415,-2.4575815,-2.5091515,-2.9919415000000003,-3.0780015,-3.2559215,-3.4790015,-3.4976215,-3.4970115,0.0,-3.2321215,-0.0540165
362.0,-1.9866984999999997,-2.0074484999999997,-2.0059185,-2.0129384999999997,-2.0462085,-2.1847485,-2.2097785,-2.2656285,-2.3916584999999997,-2.4352985,-2.8991685,-3.0279585,-3.1674184999999997,-3.3923384999999997,-3.4487885,-3.4753385,0.0,-3.1545985,-0.0668335
363.0,-1.8817188,-1.9509888,-1.9677688000000002,-1.9155888,-1.9708288000000003,-2.0669587999999997,-2.1246288,-2.1594287999999997,-2.3083487999999996,-2.3507688,-2.7700788,-2.9464688,-3.1268287999999997,-3.2809488,-3.3114588,-3.3850088,0.0,-3.0575588,-0.0604248
364.0,-1.8023712,-1.8215912,-1.8392912000000001,-1.8518112000000002,-1.8713412,-1.9412212000000002,-2.0263712000000003,-2.0681812,-2.1859712,-2.2604412000000003,-2.6876812,-2.8360012,-2.9760712000000002,-3.1643712,-3.1994612,-3.3062712000000003,0.0,-3.0075112,-0.056152200000000006
365.0,-1.7352254,-1.7428553999999998,-1.7239353999999998,-1.7553754000000001,-1.7919953999999998,-1.9293254000000002,-1.9192554,-1.9598353999999998,-2.1441654,-2.1554553999999997,-2.6324454,-2.7389554,-2.8869654,-3.0599954,-3.1176754,-3.1735254,0.0,-2.9516554,-0.0622554
366.0,-1.6461206,-1.6918906,-1.6793806,-1.6879306,-1.7208906,-1.7932106,-1.8368506,-1.9073506,-2.0034806,-2.1057106,-2.5036606,-2.6361106,-2.7896106,-2.9837006,-3.0340606,-3.0419906,0.0,-2.8509506,-0.0607296
367.0,-1.5634202,-1.5573102,-1.5667702,-1.5585302,-1.6253702,-1.7178302,-1.7541502,-1.8277002,-1.8875102,-1.9641102000000001,-2.4105802,-2.5488302000000003,-2.7023302,-2.8811602,-2.9074102,-2.8933702,0.0,-2.7331502000000003,-0.057678200000000006
368.0,-1.4779692,-1.4993292,-1.4849892,-1.5185592,-1.5579192000000002,-1.6006492,-1.6677892,-1.7053192000000001,-1.8234292,-1.8859892,-2.2888192000000003,-2.4371292,-2.5759892,-2.7612292000000003,-2.7838092,-2.8048692,0.0,-2.6129192,-0.0482178
369.0,-1.3885516,-1.4083816,-1.4382916,-1.4172315999999998,-1.4654516,-1.5502916,-1.5908816,-1.5988115999999999,-1.7251615999999999,-1.7984015999999998,-2.2064216,-2.3092616,-2.4386616,-2.6248216,-2.6220716,-2.7279616,0.0,-2.5405916,-0.06042460000000001
370.0,-1.3546795999999999,-1.3546795999999999,-1.3412495999999998,-1.3629196000000001,-1.3815296,-1.4392095999999999,-1.5075696,-1.5536496,-1.6375696,-1.7224096000000002,-2.0648196000000003,-2.2335796,-2.3654196,-2.5259396,-2.5530996,-2.5851396,0.0,-2.4545296000000003,-0.0524902
371.0,-1.2622026999999998,-1.2579326999999998,-1.2634326999999999,-1.2902827,-1.3159227,-1.3583326999999998,-1.4071627,-1.4480627,-1.5692126999999998,-1.6104127,-1.9735726999999998,-2.1505727,-2.2756927,-2.4276727,-2.4414027000000003,-2.4441527,0.0,-2.3352027,-0.0561524
372.0,-1.1801195999999998,-1.2365696000000002,-1.1904895999999998,-1.2124595999999999,-1.2518296000000002,-1.3192796000000002,-1.3571195999999999,-1.3915996000000002,-1.4758296,-1.5414396,-1.9168096000000001,-2.0635996000000003,-2.1844496,-2.3425296,-2.3034696,-2.3760996000000003,0.0,-2.2506696,-0.05462650000000001
373.0,-1.0986348,-1.1181648,-1.1370848,-1.1453248,-1.1819448,-1.2503048,-1.2741048,-1.3391148,-1.4151048,-1.4590448,-1.8069448,-1.9241348,-2.0617647999999997,-2.2174047999999997,-2.2546348,-2.2583048,0.0,-2.1868847999999996,-0.0527954
374.0,-1.0934455,-1.0821555,-1.0989355,-1.1044355,-1.1453255,-1.2039155,-1.2167355,-1.2353555,-1.3684055,-1.4093054999999999,-1.7529255,-1.8911755,-2.0086654999999998,-2.1646155,-2.1658355,-2.1603355,0.0,-2.1228055,-0.05187989999999999
375.0,-1.0208103000000002,-1.0534703,-1.0443103,-1.0748303000000001,-1.0983303,-1.1331203,-1.1813403,-1.2237503,-1.2957803,-1.3534503,-1.6888403,-1.8527203,-1.9552603000000002,-2.0916702999999996,-2.0977802999999997,-2.1405003,0.0,-2.0632903,-0.054321299999999996
376.0,-0.9970110000000001,-1.008601,-1.0095210000000001,-1.044921,-1.047971,-1.1010710000000001,-1.156311,-1.183171,-1.2512210000000001,-1.3259910000000001,-1.679991,-1.814271,-1.916811,-2.004091,-2.0623810000000002,-2.096561,0.0,-2.046511,-0.0473022
377.0,-0.9652715,-0.9875455,-0.9786954999999999,-0.9896855,-1.0287454999999999,-1.0821555,-1.1352555,-1.1361655,-1.2347455,-1.2686155,-1.6256755,-1.7440755,-1.8591355,-1.9982954999999998,-2.0013454999999998,-2.0385755,0.0,-1.9738755000000001,-0.0524902
378.0,-0.9579472,-0.9640502000000001,-0.9582522,-0.9735062,-1.0113562,-1.0360762,-1.1276262,-1.1016861999999998,-1.1950661999999999,-1.2527462,-1.5573162,-1.7349261999999999,-1.8295261999999999,-1.9656361999999998,-1.9680761999999998,-2.0089762,0.0,-1.9931062,-0.0543213
379.0,-0.910645,-0.935364,-0.930786,-0.949402,-0.9906,-1.0211199999999998,-1.07636,-1.08887,-1.1795,-1.22742,-1.54633,-1.6793799999999999,-1.7868,-1.93024,-1.94977,-1.97906,0.0,-1.94794,-0.049133300000000005
380.0,-0.913391,-0.903015,-0.9121699999999999,-0.943298,-0.9530639999999999,-0.986943,-1.0174530000000002,-1.0690330000000001,-1.1599730000000001,-1.205143,-1.535643,-1.688533,-1.817323,-1.892093,-1.905213,-1.966243,0.0,-1.932063,-0.0488281
381.0,-0.8825688,-0.8898928,-0.8883668,-0.9100338,-0.9036258,-0.9948758000000001,-1.0266157999999999,-1.0775758,-1.1135857999999998,-1.1813357999999998,-1.4956657999999998,-1.6473358,-1.7749058,-1.8728658,-1.8890357999999998,-1.9323758,0.0,-1.9076558,-0.054016100000000004
382.0,-0.8615117,-0.8673097000000001,-0.8807377000000001,-0.8935547,-0.9274287,-0.9631337,-1.0061637,-1.0165437,-1.0855137000000001,-1.1718737000000001,-1.4596537,-1.6165137,-1.7385837,-1.8679837000000001,-1.8774437,-1.9042937,0.0,-1.8792737,-0.0509643
383.0,-0.8377072999999999,-0.8584592999999999,-0.8587642999999999,-0.8480833,-0.8911133,-0.9469603,-0.9609983,-0.9921303,-1.0748303000000001,-1.1303703,-1.4379903,-1.5939303,-1.7028803000000001,-1.7953503000000002,-1.8484503,-1.8804903000000002,0.0,-1.8643203000000002,-0.0439453
384.0,-0.8239745,-0.8312985,-0.8316045,-0.8413695,-0.8663945,-0.8996585,-0.9179685,-0.9808375,-1.0790975,-1.1187775,-1.4233375,-1.5554775,-1.6918975,-1.7871075,-1.7883275,-1.8246475,0.0,-1.8392975,-0.0543213
385.0,-0.7958987,-0.8309937,-0.8020016999999999,-0.7989507,-0.8233647,-0.8682247,-0.9262087,-0.9478757,-1.0357707,-1.0836807000000002,-1.3708507,-1.5429707000000001,-1.6500807000000002,-1.7694107000000001,-1.7810107000000002,-1.7968707000000002,0.0,-1.7895507000000002,-0.0573731
